Temperature,Pressure,Humidity,X,Y,Z,label
22,996,88,0,0,1,0
31,918,45,0,0,1,0
34,832,84,0,0,1,0
22,880,87,0,0,1,0
33,817,81,0,0,1,0
22,1075,66,0,0,1,0
37,1007,30,0,0,1,0
29,905,88,0,0,1,0
34,824,88,0,0,1,0
25,1053,32,0,0,1,0
36,825,39,0,0,1,0
33,866,56,0,0,1,0
31,1012,81,0,0,1,0
36,833,43,0,0,1,0
31,972,83,0,0,1,0
25,847,72,0,0,1,0
28,821,86,0,0,1,0
36,1088,79,0,0,1,0
21,1042,50,0,0,1,0
26,1045,80,0,0,1,0
37,887,83,0,0,1,0
21,889,44,0,0,1,0
26,879,30,0,0,1,0
37,853,37,0,0,1,0
33,816,88,0,0,1,0
22,812,83,0,0,1,0
32,834,31,0,0,1,0
21,1038,72,0,0,1,0
25,886,86,0,0,1,0
39,897,85,0,0,1,0
32,1076,86,0,0,1,0
30,878,71,0,0,1,0
37,867,47,0,0,1,0
38,815,55,0,0,1,0
27,828,60,0,0,1,0
39,956,86,0,0,1,0
38,934,87,0,0,1,0
26,923,44,0,0,1,0
34,812,30,0,0,1,0
25,1060,65,0,0,1,0
37,857,43,0,0,1,0
36,868,70,0,0,1,0
20,1097,89,0,0,1,0
37,1023,87,0,0,1,0
30,822,86,0,0,1,0
35,851,84,0,0,1,0
23,1036,80,0,0,1,0
21,806,60,0,0,1,0
29,876,84,0,0,1,0
22,881,72,0,0,1,0
21,850,45,0,0,1,0
27,856,88,0,0,1,0
26,1077,84,0,0,1,0
22,1055,71,0,0,1,0
37,1071,51,0,0,1,0
32,991,81,0,0,1,0
35,827,86,0,0,1,0
25,886,78,0,0,1,0
30,1022,84,0,0,1,0
24,806,89,0,0,1,0
34,826,35,0,0,1,0
21,847,53,0,0,1,0
23,861,58,0,0,1,0
37,990,58,0,0,1,0
36,861,80,0,0,1,0
24,839,30,0,0,1,0
26,830,88,0,0,1,0
32,873,89,0,0,1,0
29,884,85,0,0,1,0
20,879,83,0,0,1,0
27,1021,82,0,0,1,0
22,805,56,0,0,1,0
27,809,80,0,0,1,0
30,1075,89,0,0,1,0
26,845,45,0,0,1,0
35,876,86,0,0,1,0
25,1037,87,0,0,1,0
31,846,81,0,0,1,0
33,1032,55,0,0,1,0
28,917,86,0,0,1,0
22,871,81,0,0,1,0
30,875,40,0,0,1,0
27,1089,89,0,0,1,0
30,843,78,0,0,1,0
32,1015,82,0,0,1,0
22,1063,71,0,0,1,0
36,893,58,0,0,1,0
30,855,53,0,0,1,0
22,829,85,0,0,1,0
29,810,87,0,0,1,0
36,839,86,0,0,1,0
28,1008,63,0,0,1,0
28,862,43,0,0,1,0
20,950,80,0,0,1,0
37,888,84,0,0,1,0
26,905,86,0,0,1,0
25,813,82,0,0,1,0
29,825,81,0,0,1,0
38,897,88,0,0,1,0
30,967,37,0,0,1,0
27,877,78,0,0,1,0
35,1087,83,0,0,1,0
33,932,33,0,0,1,0
23,872,84,0,0,1,0
26,1005,31,0,0,1,0
21,825,80,0,0,1,0
39,898,44,0,0,1,0
33,888,51,0,0,1,0
31,948,85,0,0,1,0
38,1076,47,0,0,1,0
24,872,50,0,0,1,0
22,800,86,0,0,1,0
29,929,53,0,0,1,0
22,850,63,0,0,1,0
28,1076,39,0,0,1,0
20,834,89,0,0,1,0
34,1054,34,0,0,1,0
22,858,34,0,0,1,0
31,1056,36,0,0,1,0
24,828,68,0,0,1,0
21,863,43,0,0,1,0
36,817,80,0,0,1,0
20,897,82,0,0,1,0
31,1041,44,0,0,1,0
21,938,81,0,0,1,0
32,1062,62,0,0,1,0
29,1036,38,0,0,1,0
34,999,45,0,0,1,0
26,903,81,0,0,1,0
21,981,88,0,0,1,0
35,982,75,0,0,1,0
25,829,84,0,0,1,0
32,839,81,0,0,1,0
30,892,85,0,0,1,0
33,1053,64,0,0,1,0
30,935,84,0,0,1,0
27,828,76,0,0,1,0
39,832,66,0,0,1,0
27,854,71,0,0,1,0
24,880,53,0,0,1,0
